objectid,filename,title,format,latitude,longitude,date,subject,location,creator,description,box,folder,publisher,youtubeid
1,cooley_fieldtrip_log_1.jpeg,Cooley Fieldtrip Log from July 1976,image/jpeg,,,1976-07-02,Field log; Textual records,"Gary, Indiana",Gilbert Cooley,"A field log from Cooley's meeting with ""Dr. Dorson and other members of the Gary Project"".",Box 6,Field Reports - Cooley (Kulii),Indiana University Archives,
2,cooley_field_logs_july_1976.pdf,Cooley Field Logs (July 1976),application/pdf,,,1976-07,Field log; Gallery; Textual records,"Gary, Indiana",Gilbert Cooley,"Written notes from Cooley of his various field trips within the Gary area. This includes the following: date of trip, tapes recorded, whether or not photographs were taken, an optional description of photographs taken, and any notes of interest.",Box 6,Field Reports - Cooley (Kulii),Indiana University Archives,
3,cooley_field_report.pdf,Cooley Field Report,application/pdf,,,1976-08-09,Field log; Field report; Gallery; Textual records,"Gary, Indiana",Gilbert Cooley,"Typed report of field work completed by Cooley, submitted to Dr. Dorson for the ""Research in Folklore"" course.",Box 6,Field Reports - Cooley (Kulii),Indiana University Archives,
4,cooley_field_logs_may_1976.pdf,Cooley Field Logs (May 1976),application/pdf,,,1976-05,Field log; Gallery; Textual records,"Gary, Indiana",Gilbert Cooley,"Written notes from Cooley of his various field trips within the Gary area. This includes the following: date of trip, tapes recorded, whether or not photographs were taken, an optional description of photographs taken, and any notes of interest.",Box 6,Field Reports - Cooley (Kulii),Indiana University Archives,
5,image0117.jpg,Dorson Field Report,image/jpeg,,,1977-04-19,Project Notes; Textual records,"Gary, Indiana",Richard Dorson,"List of Dr. Richard Dorson's students, talkers, and individuals within the Gary community.",Box 6,Field Reports - Dorson,Indiana University Archives,
6,mexican_independence_day.pdf,Newspaper Articles on Mexican Independence Day,application/pdf,,,1975-09-14,Newspaper; Gallery; Textual records,"East Chicago, Indiana",Philip George,Newspaper clippings recounting the celebration of Mexican Independence day in East Chicago,Box 6,Field Reports - George,Indiana University Archives,
7,george_field_logs.pdf,George Field Logs,application/pdf,,,1975,Field log; Gallery; Textual records,"Gary, Indiana",Philip George,"Written notes from George of his various field trips within the Gary area. This includes the following: date of trip, tapes recorded, whether or not photographs were taken, an optional description of photographs taken, and any notes of interest.",Box 6,Field Reports - George,Indiana University Archives,
8,image0081(2).jpg,Dorson Correspondence,image/jpeg,,,1978-03-21,"Correspondence; ""Jenny's"" Film; Textual records","Bloomington, Indiana",Richard Dorson,"Interdepartmental communication between Drs. Dorson and Stockton regarding the production of ""Jenny's.""",Box 6,Film Production - Jenny's,Indiana University Archives,
9,image0083(2).jpg,Dorson Correspondence,image/jpeg,,,1976-03-22,"Correspondence; ""Jenny's"" Film; Textual records",Unknown Location,Richard Dorson,Internal communication with the student-ran Audio Visual Center at Indiana University from Dr. Richard Dorson.,Box 6,Film Production - Jenny's,Indiana University Archives,
10,image0084(2).jpg,NEH Grant Approval Correspondence,image/jpeg,,,1978-04-09,"Correspondence; ""Jenny's"" Film; Textual records","Washington, D.C.",Stephen Miller,Correspondence between the National Endowment for the Humanities (NEH) and Indiana University.,Box 6,Film Production - Jenny's,Indiana University Archives,
11,image0085(2).jpg,Dorson Correspondence,image/jpeg,,,1977-01-25,"Correspondence; ""Jenny's"" Film; Textual records",Unknown Location,Richard Dorson,"Correspondence between Dr. Richard Dorson and the subjects of the film ""Jenny's.""",Box 6,Film Production - Jenny's,Indiana University Archives,
12,image0086(2).jpg,"Film Schedule for ""Jenny's""",image/jpeg,,,,"Field notes; ""Jenny's"" Film; Textual records",Unknown Location,Milan Bektesh,"Film schedule and storyboarding for ""Jenny's"".",Box 6,Film Production - Jenny's,Indiana University Archives,
13,image0088(2).jpg,George Correspondence,image/jpeg,,,1976-09-02,"Correspondence; ""Jenny's"" Film; Textual records",Unknown Location,Philip George,"Correspondence between Philip George and Inta Carpenter, assistant director of the Folklore Institute.",Box 6,Film Production - Jenny's,Indiana University Archives,
14,image0089(2).jpg,"Film Layout Proposal for ""Jenny's""",image/jpeg,,,1975-08,"""Jenny's"" Film; Textual records","Bloomington, Indiana",S. R. Sherman,"A proposed film layout for the upcoming film ""Jenny's"", including screen times, transitions, and individual scene contents.",Box 6,Film Production - Jenny's,Indiana University Archives,
15,image0090(2).jpg,"Bill of Materials for ""Jenny's"" Film",image/jpeg,,,1975-08,"""Jenny's"" Film; Textual records","Bloomington, Indiana",S. R. Sherman,"A bill of materials outlining the necessary equipment for the production of the ""Jenny's"" film in Gary, Indiana, including justifications for certain costs.",Box 6,Film Production - Jenny's,Indiana University Archives,
16,image0091(2).jpg,"Initial Reactions to ""Jenny's"" Film",image/jpeg,,,,"""Jenny's"" Film; Textual records",Unknown Location,Gilbert Cooley,"Some brief notes on initial thoughts & reactions towards ""Jenny's"" and some ideas on how it could be improved.",Box 6,Film Production - Jenny's,Indiana University Archives,
17,image0092(2).jpg,Agenda for Region Project,image/jpeg,,,,"""Jenny's"" Film; Textual records",Unknown Location,Unknown Creator,"An agenda of remaining tasks to prepare for the showing of ""Jenny's"" at the Hammond International Culture Festival.",Box 6,Film Production - Jenny's,Indiana University Archives,
18,image0093(2).jpg,Notes on Gary Project Meeting with Philip Stockton,image/jpeg,,,1976-03-16,"""Jenny's"" Film; Textual records",Unknown Location,Unknown Creator,"Notes on additional costs for the production of the film ""Jenny's"" from a meeting between an unknown individual and Philip Stockton. Included are descriptions of costs for specific needs, such as the printing of the film and cinematographers.",Box 6,Film Production - Jenny's,Indiana University Archives,
19,jennys_transcript_1.pdf,"Transcript from ""Jenny's"" Film 1st Cut",application/pdf,,,,"""Jenny's"" Film; Transcripts; Gallery; Textual records","Gary, Indiana",Loralyn Whitney,"A transcription from the first cut of the film ""Jenny's"".",Box 6,Film Production - Jenny's Transcript,Indiana University Archives,
20,jennys_transcript_2.pdf,"Transcript from ""Jenny's"" Film 2nd Cut",application/pdf,,,,"""Jenny's"" Film; Transcripts; Gallery; Textual records","Gary, Indiana",Loralyn Whitney,"A transcription from the second cut of the film ""Jenny's"".",Box 6,Film Production - Jenny's Transcript,Indiana University Archives,
21,jennys_transcript_3.pdf,"Transcript from ""Jenny's"" Film 3rd Cut",application/pdf,,,,"""Jenny's"" Film; Transcripts; Gallery; Textual records","Gary, Indiana",Loralyn Whitney,"A transcription from the third cut of the film ""Jenny's"".",Box 6,Film Production - Jenny's Transcript,Indiana University Archives,
22,calumet_region_project_transcript.pdf,Calumet Region Project Transcript Overview,application/pdf,,,,Calumet; Project Overview; Gallery; Textual records,"Gary, Indiana",Unknown Creator,A typed transcription describing the project of gathering urban folklore in the Calumet region of Northwestern Indiana.,Box 5,Calumet Region Project - March. R. Videotape Guide Books,Indiana University Archives,
23,ethnic_response_poster.pdf,"Film Poster for ""The Ethnic Response: Parish/Neighborhood Survival""",application/pdf,,,,Calumet; Posters; Gallery; Textual records,"Baltimore, Maryland",David Peeler,"A film poster for ""The Ethnic Response"", a color documentary about the survival of diaspora neighborhoods in the States.",Box 5,Calumet Region Project - March. R. Videotape Guide Books,Indiana University Archives,
24,image0198.jpg,List of Products for Folklore Video Production,image/jpeg,,,,Calumet; Textual records,Unknown Location,Unknown Creator,"A list of products for folklore film & documentary production of ethnic neighborhoods in Gary, Indiana.",Box 5,Calumet Region Project - March. R. Videotape Guide Books,Indiana University Archives,
25,image0200.jpg,Help Flyer for Folklore Video Collection,image/jpeg,,,,Calumet; Notices & Advertisements; Textual records,Unknown Location,Unknown Creator,A table of contents and some instructions for usage and care for some video casettes of folklore documentaries.,Box 5,Calumet Region Project - March. R. Videotape Guide Books,Indiana University Archives,
26,image0201.jpg,Table of Contents for a Folklore Documentary,image/jpeg,,,,Calumet; Textual records,Unknown Location,Unknown Creator,A table of contents for a folklore documentary tape.,Box 5,Calumet Region Project - March. R. Videotape Guide Books,Indiana University Archives,
27,image0202.jpg,Carpenter Correspondence,image/jpeg,,,1977-08-22,Correspondence; Textual records,"Bloomington, Indiana",Inta Carpenter,Interdepartmental correspondence between Inta Carpenter of the Folklore department and Ed Moss of the IU News Bureau. The correspondence included materials for the news bureau to put up about an upcoming conference.,Box 5,"Conference Announcements, Publicity",Indiana University Archives,
28,image0204.jpg,Flyer for the Urban Folklore Conference 1977,image/jpeg,,,1977-08,Notices & Advertisements; Urban Folklore Conference; Textual records,"Bloomington, Indiana",Unknown Creator,"An informational flyer advertising the upcoming Urban Folklore Conference at the Indiana Memorial Union on the IU campus, set to occur Friday and Saturday, September 2-3, 1977.",Box 5,"Conference Announcements, Publicity",Indiana University Archives,
29,image0205.jpg,Schedule for the Urban Folklore Conference 1977,image/jpeg,,,1977-08,Notices & Advertisements; Urban Folklore Conference; Textual records,"Bloomington, Indiana",Unknown Creator,The schedule for the Frangipani room in the Indiana Memorial Union for the 1977 Urban Folklore Conference at IU.,Box 5,"Conference Announcements, Publicity",Indiana University Archives,
30,image0209.jpg,"Announcement for the 1977 Urban Folklore Conference, 2",image/jpeg,,,1977-08,Notices & Advertisements; Urban Folklore Conference; Textual records,"Bloomington, Indiana",Richard Dorson,A typed announcement from Dr. Richard Dorson broadcasting news of the upcoming 1977 Urban Folklore Conference at IU.,Box 5,"Conference Announcements, Publicity",Indiana University Archives,
31,image0210.jpg,Internal Faculty Memo for the 1977 Urban Folklore Conference,image/jpeg,,,1977-08-11,Notices & Advertisements; Urban Folklore Conference; Correspondence; Textual records,"Bloomington, Indiana",Richard Dorson,Internal correspondence to faculty members of the IU Folklore department about the upcoming 1977 Urban Folklore Conference at IU.,Box 5,"Conference Announcements, Publicity",Indiana University Archives,
32,image0211.jpg,Memo Addressed to the Urban Studies Committee About 1977 Urban Folklore Conference,image/jpeg,,,1977-08-11,Notices & Advertisements; Urban Folklore Conference; Correspondence; Textual records,"Bloomington, Indiana",Richard Dorson,"Memo addressed to the Urban Folklore Committee, which enclosed the announcement of the 1977 Urban Folklore Conference at IU for interested members to RSVP.",Box 5,"Conference Announcements, Publicity",Indiana University Archives,
33,1977_urban_folklore_conf_transcript.pdf,Transcript of the 1977 Urban Folklore Conference,application/pdf,,,1977-09-02,Transcripts; Urban Folklore Conference; Gallery; Textual records,"Bloomington, Indiana",Susan Cooper,A transcript of discussions held on the first day of the 1977 Urban Folklore Conference at IU between multiple distinguished attendees.,Box 5,Conference - Gary Project Urban Folklore,Indiana University Archives,
34,image0245.jpg,"""Ethnic Prides"", Newspaper Clipping",image/jpeg,,,1976-06-09,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, June 1976 discussing matters of ethnic pride and the conservation of culture, particularly of religious nature, as a diaspora in Gary, Indiana.",Box 7,III2. Ethnic Cultural Heritage,Indiana University Archives,
35,image0247.jpg,"""Jewish women, To kick off fund-raiser with kibbutz supper"", Newspaper Clipping",image/jpeg,,,1976-03-07,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, March 1976, announcing an upcoming fundraiser led by a group of Jewish women that will provide a group dinner, or ""kibbutz"".",Box 7,III3. Ethnic Foods,Indiana University Archives,
36,image0248.jpg,"""Jewish holiday an eight-day feast, Variety of dishes served during Chanukah"", Newspaper Clipping",image/jpeg,,,,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, unknown date, describing recipes for the sorts of dishes being prepared by local Jewish women during the Jewish holiday of Chanukah.",Box 7,III3. Ethnic Foods,Indiana University Archives,
37,image0249.jpg,"""in a Woman's World, Christmas In the Kitchen"", Newspaper Clipping",image/jpeg,,,1975-12-17,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, December 1975, describing recipes for the sorts of pastries being served at an upcoming bakesale at the local American-Macedonian church for Christmas.",Box 7,III3. Ethnic Foods,Indiana University Archives,
38,image0252.jpg,"Newspaper Clipping, Unknown Title",image/jpeg,,,,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, unknown date, describing recipes for the sorts of pastries being served at an upcoming bake-sale at the local American-Macedonian church for Christmas.",Box 7,III3. Ethnic Foods,Indiana University Archives,
39,image0253.jpg,"""Easter Food To Be Blessed"", Newspaper Clipping",image/jpeg,,,1976-04-16,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, April 1976, describing the culturally significant Polish practice of blessing Easter food.",Box 7,III3. Ethnic Foods,Indiana University Archives,
40,image0254.jpg,"Newspaper Clipping, Unknown Title",image/jpeg,,,,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, unknown date, describing recipes from local Eastern European women.",Box 7,III3. Ethnic Foods,Indiana University Archives,
41,image0255.jpg,"""paper thin strudel"", Newspaper Clipping",image/jpeg,,,,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, unknown date, with pastry recipes from Amelia Drvodalich, a local Croatian woman, such as cheese strudels.",Box 7,III3. Ethnic Foods,Indiana University Archives,
42,image0257.jpg,"""There will be music, dancing, and paper thin strudel"", Newspaper Clipping",image/jpeg,,,1975-08-06,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, August 1975, announcing the upcoming ""Croatian Day"" holiday and how local Croatians will celebrate.",Box 7,III3. Ethnic Foods,Indiana University Archives,
43,image0259.jpg,"Newspaper Clipping, Unknown Title",image/jpeg,,,,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, unknown date, showcasing the various preparations and upcoming festivities for the celebration of ""Croatian Day"".",Box 7,III3. Ethnic Foods,Indiana University Archives,
44,image0261.jpg,"Newspaper Clipping, Unknown Title",image/jpeg,,,,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, unknown date, showcasing the strudel dough prepared by local women in preparation for ""Croatian Day"".",Box 7,III3. Ethnic Foods,Indiana University Archives,
45,image0262.jpg,"""Polish picnic to be this weekend"", Newspaper Clipping",image/jpeg,,,1975-08-23,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, August 1975, advertising an upcoming Polish Festival and some of the dishes that will be served.",Box 7,III3. Ethnic Foods,Indiana University Archives,
46,image0263.jpg,"""Food important part of nation's heritage"", Newspaper Clipping",image/jpeg,,,,Newspaper; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, unknown date, sharing a few of the many recipes being prepared by local families in observance of the Bicentennial celebrations.",Box 7,III3. Ethnic Foods,Indiana University Archives,
47,gary_festival_of_ethnic_music_and_food.pdf,Brochure from the Gary Festival of Ethnic Music and Food 1976,application/pdf,,,1976-07-11,Brochure; Bicentennial; Textual records,"Gary, Indiana",Unknown Creator,"A brochure for the joint celebration of the US Bicentennial and the Gary Festival of Ethnic Music and Food, 1976.",Box 7,III1C. Mixed Ethnic (Bicentennial Celebrations),Indiana University Archives,
48,image0242.jpg,"""Colonial Arts, Crafts Festival to kick off Bicentennial events"", Newspaper Clipping",image/jpeg,,,,Newspaper; Bicentennial; Textual records,"Gary, Indiana",Janet Burton,"Newspaper clippings from the Post-Tribune, unknown date, announcing the upcoming celebrations for the Bicentennial planned by the Hobart Tri Kappas at the Hobart Branch of the American Association of University Women.",Box 7,III1C. Mixed Ethnic (Bicentennial Celebrations),Indiana University Archives,
49,image0243.jpg,"""Love of Youth Inspires Bicentennial Work"", Newspaper Clipping",image/jpeg,,,1976-12-06,Newspaper; Bicentennial; Textual records,"Gary, Indiana",Richard Farrant,"Newspaper clippings from the Times of Northwest Indiana, December 1976, highlighting local John Bowlby and his excitement and contributions toward the celebrations of the Bicentennial.",Box 7,III1C. Mixed Ethnic (Bicentennial Celebrations),Indiana University Archives,
50,image0244.jpg,"""To salute Bicentennial with art fair"", Newspaper Clipping",image/jpeg,,,1976-07-23,Newspaper; Bicentennial; Textual records,"Gary, Indiana",Unknown Creator,"Newspaper clippings from the Post-Tribune, July 1976, highlighting some of the local happenings to celebrate the upcoming Bicentennial.",Box 7,III1C. Mixed Ethnic (Bicentennial Celebrations),Indiana University Archives,
51,image0280.jpg,"""Bicentennial reminder"", Newspaper Clipping",image/jpeg,,,1975-12-05,Newspaper; Bicentennial; Textual records,"Gary, Indiana",Unknown Creator,"Newspaper clippings from the Post-Tribune, December 1975, announcing that Gary, Indiana has been designated as a Bicentennial City by the American Revolution Bicentennial Administration.",Box 7,IX1. Gary History,Indiana University Archives,
52,image0281.jpg,"""Henry has vivid memories of early Gary"", Newspaper Clipping",image/jpeg,,,1976-07-11,Newspaper; Bicentennial; Textual records,"Gary, Indiana",Donelle Weiss,"Newspaper clippings from the Post-Tribune, July 1976, telling the story of 91-year-old Frank Henry, a long-time resident of Gary since 1910.",Box 7,IX1. Gary History,Indiana University Archives,
53,image0283.jpg,"""Gary history wrapped up for Council members"", Newspaper Clipping",image/jpeg,,,1976-06-02,Newspaper; Bicentennial; Textual records,"Gary, Indiana",Unknown Creator,"Newspaper clippings from the Post-Tribune, June 1976, telling the history of the city of Gary, through the towns, hamlets, and villages that formed the city.",Box 7,IX1. Gary History,Indiana University Archives,
